Working_Year,Designation,Experience,Employment_Status,Employee_Location,Company_Size,Remote_Working_Ratio,Salary_USD
2020.0,Data Scientist,MI,FT,DE,L,0,6352272.0
2020.0,Principal Data Scientist,SE,FT,DE,M,100,130000.0
2020.0,Lead Data Engineer,SE,FT,NZ,S,50,125000.0
2020.0,Data Scientist,SE,FT,US,L,50,120000.0
2020.0,Data Scientist,MI,FT,US,M,100,118000.0
2020.0,Lead Data Scientist,MI,FT,AE,L,0,115000.0
2020.0,Data Engineer,MI,FT,US,L,100,110000.0
2020.0,Data Engineer,MI,FT,US,L,100,106000.0
2020.0,Data Scientist,MI,FT,US,L,100,105000.0
2020.0,Data Scientist,EN,FT,US,S,100,105000.0
2020.0,Data Science Consultant,MI,FT,US,L,100,103000.0
2020.0,Azure Data Engineer,EN,FT,MU,S,0,100000.0
2020.0,Big Data Engineer,SE,FT,PL,S,100,100000.0
2020.0,Business Data Analyst,EN,CT,US,L,100,100000.0
2020.0,BI Data Analyst,MI,FT,US,M,0,98000.0
2020.0,Business Data Analyst,MI,FT,US,M,0,95000.0
2020.0,Data Engineer,MI,FT,ES,M,100,130800.0
2020.0,Data Analyst,EN,FT,US,L,100,91000.0
2020.0,Business Data Analyst,MI,FT,US,L,100,135000.0
2020.0,Data Scientist,MI,FT,US,M,100,138350.0
2020.0,Data Scientist,MI,FT,IN,L,0,39000.0
2020.0,Data Engineer,SE,FT,MX,S,0,720000.0
2020.0,Research Scientist,MI,FT,US,M,0,450000.0
2020.0,Data Scientist,SE,FT,US,L,100,412000.0
2020.0,Director of Data Science,EX,FT,US,L,100,325000.0
2020.0,Managing Director Data Science,EX,FT,US,L,100,300000.0
2020.0,AI Scientist,EN,FT,DK,S,50,300000.0
2020.0,Machine Learning Scientist,SE,FT,JP,S,0,260000.0
2020.0,Machine Learning Engineer,EN,FT,US,L,50,250000.0
2020.0,Data Science Manager,SE,FT,US,M,100,190200.0
2020.0,Lead Data Scientist,SE,FT,US,S,100,190000.0
2020.0,Data Engineer,SE,FT,US,L,100,188000.0
2020.0,Staff Data Scientist,SE,FT,US,M,50,164000.0
2020.0,Machine Learning Manager,SE,FT,CA,L,50,157000.0
2020.0,Machine Learning Engineer,SE,FT,US,L,50,150000.0
2020.0,Machine Learning Engineer,EN,FT,US,S,100,138000.0
2020.0,Data Engineer,EN,FT,JP,S,100,40940.0
2020.0,Data Engineer,MI,FT,GB,L,50,88000.0
2020.0,Big Data Engineer,SE,FT,GB,M,50,85000.0
2020.0,Data Scientist,EN,FT,FR,S,0,45000.0
2020.0,Machine Learning Infrastructure Engineer,MI,FT,PT,M,0,44000.0
2020.0,Data Scientist,EN,FT,DE,S,0,43200.0
2020.0,Data Analyst,EN,FT,DE,L,0,42000.0
2020.0,Research Scientist,EN,FT,NL,L,50,42000.0
2020.0,Data Engineer,SE,FT,GR,L,50,42000.0
2020.0,Data Analyst,MI,FT,FR,L,50,41000.0
2020.0,Machine Learning Engineer,SE,FT,HR,S,100,40000.0
2020.0,Data Scientist,MI,FT,FR,S,50,37000.0
2020.0,Data Scientist,EN,FT,FR,M,0,35000.0
2020.0,Data Scientist,MI,FT,ES,M,100,34000.0
2020.0,Data Analyst,EN,FT,PT,M,100,20000.0
2020.0,Product Data Analyst,MI,FT,HN,S,0,20000.0
2020.0,Data Scientist,EN,PT,IT,S,50,19000.0
2020.0,Staff Data Analyst,EX,FT,NG,M,0,15000.0
2020.0,Data Scientist,MI,FT,PH,S,100,45760.0
2020.0,Lead Data Analyst,MI,FT,US,L,100,87000.0
2020.0,Data Engineer,EN,FT,PK,L,100,48000.0
2020.0,Data Scientist,MI,FT,FR,S,50,55000.0
2020.0,Data Analyst,MI,FT,US,L,100,85000.0
2020.0,Data Scientist,SE,FT,AT,S,0,80000.0
2020.0,Data Analyst,EN,FT,US,L,100,72000.0
2020.0,Big Data Engineer,EN,FT,US,L,100,70000.0
2020.0,Data Engineer,EX,FT,ES,L,50,70000.0
